Product,Price (€),Main functions,Features,Recommended for,Tags
Restaura Serum 30ml,49.90,"EXPRESSION ANTI-WRINKLE, BTX-LIKE EFFECT","- Peptides with ""filler"" effect (btx-like).
- Hydration with hyaluronic acid and aloe vera.
- Antioxidant with vitamin E.","- For all skin types (except very oily).
- Reduction/prevention of expression wrinkles.
- Maintenance between botox sessions.","anti_wrinkle, peptide, hydrating, antioxidant, btx_like_effect"
Restaura Cream 50ml,39.90,"DEEP HYDRATION CREAM, ANTI-WRINKLE WITH BTX-LIKE EFFECT","- Soy isoflavones to stimulate collagen.
- Btx-like peptides + vitamin E.
- Deep hydration for face, neck, and décolleté.","- Combination to dry skin.
- Complement to Restaura serum.
- Anti-aging + hydration care.","anti_wrinkle, hydrating, peptide, antioxidant, btx_like_effect"
Restaura Pack Serum + Cream,49.90,"DEEP HYDRATION, ANTI-WRINKLE WITH BTX-LIKE PEPTIDES","- Includes Serum 30ml + Cream 50ml.
- Synergy of peptides + hyaluronic acid + marine collagen.
- Hydrated, elastic skin with fewer wrinkles.","- For all skin types (except oily).
- Complete anti-wrinkle + hydration routine.","anti_wrinkle, hydrating, peptide, antioxidant, btx_like_effect"
Flash Eye Contour Serum 15ml,34.90,MULTIFUNCTION EYE AND LIP CONTOUR,"- Caffeine + arnica + btx-like peptides.
- Reduces puffiness, vascular dark circles, and wrinkles.
- Immediate decongesting effect.","- Puffiness and bluish dark circles.
- Prevention/treatment of crow’s feet/smokers’ lines.
- For all ages.","eye_contour, anti_wrinkle, hydrating, decongesting, peptide"
Blue Balance Serum 30ml,49.90,"HYDRATING, BLUE LIGHT PROTECTION, REBALANCING, NIACINAMIDE","- Niacinamide + prebiotics + hyaluronic acid.
- Protects against blue light (screens/sun).
- Regulates sebum and soothes redness.","- Combination/oily or rosacea skin.
- Protection against blue light and digital aging.","hydrating, blue_light_protection, niacinamide, sebum_regulating, antioxidant"
Blue Balance Gel 30ml,25.90,"HYDRATING, BLUE LIGHT PROTECTION, MATTIFYING, NIACINAMIDE","- Ultra-light gel-cream texture.
- Mattifies and balances oily skin.
- Same HEV protection as serum.","- Combination/oily or acne-prone skin.
- Daily use with mattifying effect.","hydrating, blue_light_protection, niacinamide, mattifying, antioxidant"
AHA/BHA Exfoliating Serum 30ml,34.90,"DAILY EXFOLIATOR WITH SALICYLIC ACID, ANTI-ACNE SERUM","- 2% salicylic acid (BHA) for daily use.
- Unclogs pores and regulates sebum.
- Non-photosensitizing (safe in summer with SPF).","- Oily/acne-prone skin with enlarged pores.
- Gentle exfoliation from 12 years old.
- Contraindicated for salicylic allergies.","exfoliating, salicylic_acid, anti_acne, sebum_regulating, mattifying"
Glicolmix Serum 30ml,39.90,"PEELING EXFOLIATOR, RADIANCE, SPOT LIGHTENER","- 20% AHA (15% glycolic + 4% lactic + 1% citric).
- Intensive cell renewal.
- Improves sunspots and acne marks.","- Dull skin with spots or wrinkles.
- Weekly exfoliation for all skin types.
- Do not use on very sensitive skin.","exfoliating, glycolic_acid, radiance, anti_spot, cell_renewal"
Gentle Volcanic Exfoliant 50ml,15.90,"MECHANICAL PEELING, EXFOLIATING SCRUB, VOLCANIC MICROCRYSTALS","- Volcanic microcrystals + hydrating ingredients.
- Removes dead cells without damaging skin.
- Prepares skin for subsequent treatments.","- Skin with impurities or dullness.
- Preparation before masks.
- Do not use on active inflammatory acne.","exfoliating, mechanical_peeling, radiance, cell_renewal"
Firming Lifting Mask 50ml,15.90,"FIRMING MASK, HYDRATING, RADIANCE","- Immediate flash lifting effect.
- Shimmer particles for radiance.
- Complement to DMAE treatments.","- For wrinkles or sagging.
- ""Fresh look"" before events.
- All skin types.","mask, lifting, firming, hydrating, radiance"
Purifying Mask 50ml,15.90,"PURIFYING ALGAE MASK, MATTIFYING, SEBUM-REGULATING, REMINERALIZING","- Spirulina, chlorella, and fucus.
- Mattifying clays + sebum regulation.
- Deep cleansing without drying.","- Combination/oily or shiny skin.
- Pre-treatment purification.
- Do not use on extremely dry skin.","mask, purifying, mattifying, sebum_regulating, remineralizing"
Intense Hydration Mask 50ml,15.90,"DEEP HYDRATION MASK, CREAM, AFTER SUN","- Aloe vera + chamomile + almond oil.
- Soothes and repairs dehydrated skin.
- Ideal after sun or in dry climates.","- Dry/tight skin or post-sun exposure.
- Extra nutrition in winter.
- All skin types.","mask, hydrating, after_sun, soothing, nutrition"
Vitamin D Urban SPF30 Serum 30ml,29.90,"SERUM WITH VITAMIN D ACTIVATORS, SPF30 SUN PROTECTION","- SPF30 + blue light protection.
- Activates vitamin D synthesis.
- Lightweight texture with no greasy residue.","- Daily urban sun protection.
- To prevent vitamin D deficiency.
- All skin types.","sun_protection, vitamin_d, antioxidant, hydrating, blue_light"
SPF 50+ Sunscreen Cream,16.50,FACIAL SUNSCREEN WITH VERY HIGH PROTECTION,"- SPF50+ (real SPF 63.2) + blue light.
- Ultra-light texture and water resistant.
- Vegan friendly.","- Facial protection for all skin types.
- Especially combination/oily skin.
- Daily outdoor use.","sun_protection, uva_uvb, blue_light, hydrating, antioxidant"
Facial Cleansing Foam 150ml,14.90,"HYDRATING, IMPURITY REMOVAL, ANTI-POLLUTION","- Mousse with hyaluronic acid + panthenol.
- Removes pollution and makeup without drying.
- Physiological pH.","- Daily cleansing for all skin types.
- Ideal for cities with high pollution.
- Step 1 of double cleansing.","cleansing, hydrating, anti_pollution, soothing, softening"
Cleansing Oil 150ml,19.90,"""OIL-TO-MILK"" CLEANSING OIL","- Squalane + almond/avocado oils.
- Transforms into milk on contact with water.
- Removes waterproof makeup.","- Makeup remover for sensitive eyes.
- Step 1 of double cleansing.
- All skin types.","makeup_remover, oil_to_milk, hydrating, softening, squalane"
Double Cleansing Pack,26.75,"DOUBLE CLEANSING, MAKEUP REMOVER, HYDRATING","- Includes Cleansing Oil + Cleansing Foam.
- Removes all types of impurities and makeup.
- Velvety feel without tightness.","- Complete cleansing routine.
- For skin exposed to pollution/makeup.
- All skin types/ages.","cleansing, makeup_remover, hydrating, anti_pollution, softening"
Depigmenting + Glicolmix Pack,84.80,COMPLETE DEPIGMENTING AND EXFOLIATING TREATMENT,"- Includes Clear Azelaic (day) + Clear Skin R (night) + Glicolmix.
- Depigmenting action + intensive exfoliation.
- Day/night treatment + weekly exfoliation.","- Deep spots (melasma, lentigos).
- Anti-aging routine + even tone.
- For face, neck, and hands.","depigmenting, exfoliating, anti_acne, antioxidant, retinol"
